"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
50,4,"ALB","Albania",2,"Dibër",6,"Matit",50,"Burrel",NA,"","Bashkia","Bashkia","",""
51,4,"ALB","Albania",2,"Dibër",6,"Matit",51,"Derjan",NA,"","Commune","Commune","",""
52,4,"ALB","Albania",2,"Dibër",6,"Matit",52,"Gurrë",NA,"","Commune","Commune","","Gure| Gurra"
53,4,"ALB","Albania",2,"Dibër",6,"Matit",53,"Klos",NA,"","Bashkia","Bashkia","",""
54,4,"ALB","Albania",2,"Dibër",6,"Matit",54,"Komsi",NA,"","Commune","Commune","",""
55,4,"ALB","Albania",2,"Dibër",6,"Matit",55,"Lis",NA,"","Commune","Commune","",""
56,4,"ALB","Albania",2,"Dibër",6,"Matit",56,"Macukull",NA,"","Commune","Commune","",""
57,4,"ALB","Albania",2,"Dibër",6,"Matit",57,"Martanesh",NA,"","Commune","Commune","",""
58,4,"ALB","Albania",2,"Dibër",6,"Matit",58,"Rukaj",NA,"","Commune","Commune","",""
59,4,"ALB","Albania",2,"Dibër",6,"Matit",59,"Suç",NA,"","Commune","Commune","",""
60,4,"ALB","Albania",2,"Dibër",6,"Matit",60,"Ulëz",NA,"","Commune","Commune","",""
61,4,"ALB","Albania",2,"Dibër",6,"Matit",61,"Xibër",NA,"","Commune","Commune","",""
62,4,"ALB","Albania",3,"Durrës",7,"Durrësit",62,"Durrës",NA,"","Bashkia","Bashkia","",""
63,4,"ALB","Albania",3,"Durrës",7,"Durrësit",63,"Gjepalaj",NA,"","Commune","Commune","","Gjepelaj"
64,4,"ALB","Albania",3,"Durrës",7,"Durrësit",64,"Ishëm",NA,"","Commune","Commune","",""
65,4,"ALB","Albania",3,"Durrës",7,"Durrësit",65,"Katund i Ri",NA,"","Commune","Commune","","Katundi I Ri"
66,4,"ALB","Albania",3,"Durrës",7,"Durrësit",66,"Maminas",NA,"","Commune","Commune","",""
67,4,"ALB","Albania",3,"Durrës",7,"Durrësit",67,"Manëz",NA,"","Bashkia","Bashkia","",""
68,4,"ALB","Albania",3,"Durrës",7,"Durrësit",68,"Rrashbull",NA,"","Commune","Commune","","Rashbull"
69,4,"ALB","Albania",3,"Durrës",7,"Durrësit",69,"Shijak",NA,"","Bashkia","Bashkia","",""
70,4,"ALB","Albania",3,"Durrës",7,"Durrësit",70,"Sukth",NA,"","Bashkia","Bashkia","",""
71,4,"ALB","Albania",3,"Durrës",7,"Durrësit",71,"Xhafzotaj",NA,"","Commune","Commune","","Xhafzote"
72,4,"ALB","Albania",3,"Durrës",8,"Krujës",72,"Bubq",NA,"","Commune","Commune","","Bubuq"
73,4,"ALB","Albania",3,"Durrës",8,"Krujës",73,"Cudhi",NA,"","Commune","Commune","",""
74,4,"ALB","Albania",3,"Durrës",8,"Krujës",74,"Fushë Krujë",NA,"","Bashkia","Bashkia","",""
75,4,"ALB","Albania",3,"Durrës",8,"Krujës",75,"Kodër Thumanë",NA,"","Commune","Commune","","Thumane"
76,4,"ALB","Albania",3,"Durrës",8,"Krujës",76,"Krujë",NA,"","Bashkia","Bashkia","",""
77,4,"ALB","Albania",3,"Durrës",8,"Krujës",77,"Nikël",NA,"","Commune","Commune","",""
78,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",78,"Belsh",NA,"","Bashkia","Bashkia","",""
79,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",79,"Bradashesh",NA,"","Commune","Commune","","Bradasesh"
80,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",80,"Cërrik",NA,"","Bashkia","Bashkia","",""
81,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",81,"Elbasan",NA,"","Bashkia","Bashkia","",""
82,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",82,"Fierz",NA,"","Commune","Commune","",""
83,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",83,"Funarë",NA,"","Commune","Commune","","Funar"
84,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",84,"Gjegjan",NA,"","Commune","Commune","",""
85,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",85,"Gjinar",NA,"","Commune","Commune","",""
86,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",86,"Gostimë",NA,"","Commune","Commune","","Gostim"
87,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",87,"Gracen",NA,"","Commune","Commune","",""
88,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",88,"Grekan",NA,"","Commune","Commune","",""
89,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",89,"Kajan",NA,"","Commune","Commune","",""
90,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",90,"Klos",NA,"","Commune","Commune","",""
91,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",91,"Labinot Fushë",NA,"","Commune","Commune","",""
92,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",92,"Labinot Mal",NA,"","Commune","Commune","",""
93,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",93,"Mollas",NA,"","Commune","Commune","",""
94,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",94,"Papër",NA,"","Commune","Commune","",""
95,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",95,"Rrasë",NA,"","Commune","Commune","",""
96,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",96,"Shalës",NA,"","Commune","Commune","",""
97,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",97,"Shirgjan",NA,"","Commune","Commune","",""
98,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",98,"Shushicë",NA,"","Commune","Commune","",""
99,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",99,"Tregan",NA,"","Commune","Commune","",""
100,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit",100,"Zavalinë",NA,"","Commune","Commune","","Zavalin"
101,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",101,"Gramsh",NA,"","Bashkia","Bashkia","",""
102,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",102,"Kodovjat",NA,"","Commune","Commune","","Kokovjat"
103,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",103,"Kukur",NA,"","Commune","Commune","","Kukur |Gramsh"
104,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",104,"Kushovë",NA,"","Commune","Commune","",""
105,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",105,"Lënie",NA,"","Commune","Commune","","Lenje"
106,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",106,"Pishaj",NA,"","Commune","Commune","",""
107,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",107,"Poroçan",NA,"","Commune","Commune","",""
108,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",108,"Skëndërbegas",NA,"","Commune","Commune","","Skenderbeg| Skenderbej"
109,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",109,"Sult",NA,"","Commune","Commune","",""
110,4,"ALB","Albania",4,"Elbasan",10,"Gramshit",110,"Tunjë",NA,"","Commune","Commune","",""
111,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",111,"Hotolisht",NA,"","Commune","Commune","",""
112,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",112,"Librazhd",NA,"","Bashkia","Bashkia","",""
113,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",113,"Lunik",NA,"","Commune","Commune","",""
114,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",114,"Orenjë",NA,"","Commune","Commune","",""
115,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",115,"Perrenjas",NA,"","Bashkia","Bashkia","","Prrenjas"
116,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",116,"Polis",NA,"","Commune","Commune","",""
117,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",117,"Qendër",NA,"","Bashkia","Bashkia","",""
118,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",118,"Qukës",NA,"","Commune","Commune","",""
119,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",119,"Rrajcë",NA,"","Commune","Commune","","Rajce"
120,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit",120,"Stravaj",NA,"","Commune","Commune","","Stavraj"
121,4,"ALB","Albania",4,"Elbasan",12,"Peqinit",121,"Gjocaj",NA,"","Commune","Commune","","Goeaj"
122,4,"ALB","Albania",4,"Elbasan",12,"Peqinit",122,"Karinë",NA,"","Commune","Commune","","Karinje"
123,4,"ALB","Albania",4,"Elbasan",12,"Peqinit",123,"Përparim",NA,"","Commune","Commune","",""
124,4,"ALB","Albania",4,"Elbasan",12,"Peqinit",124,"Pajovë",NA,"","Commune","Commune","",""
125,4,"ALB","Albania",4,"Elbasan",12,"Peqinit",125,"Peqin",NA,"","Bashkia","Bashkia","",""
126,4,"ALB","Albania",4,"Elbasan",12,"Peqinit",126,"Shezë",NA,"","Commune","Commune","",""
127,4,"ALB","Albania",5,"Fier",13,"Fierit",127,"Cakran",NA,"","Commune","Commune","",""
128,4,"ALB","Albania",5,"Fier",13,"Fierit",128,"Dermenas",NA,"","Commune","Commune","",""
129,4,"ALB","Albania",5,"Fier",13,"Fierit",129,"Fier",NA,"","Bashkia","Bashkia","",""
130,4,"ALB","Albania",5,"Fier",13,"Fierit",130,"Frakull",NA,"","Commune","Commune","",""
131,4,"ALB","Albania",5,"Fier",13,"Fierit",131,"Kuman",NA,"","Commune","Commune","",""
132,4,"ALB","Albania",5,"Fier",13,"Fierit",132,"Kurjan",NA,"","Commune","Commune","",""
133,4,"ALB","Albania",5,"Fier",13,"Fierit",133,"Levan",NA,"","Commune","Commune","",""
134,4,"ALB","Albania",5,"Fier",13,"Fierit",134,"Libofshë",NA,"","Commune","Commune","",""
135,4,"ALB","Albania",5,"Fier",13,"Fierit",135,"Mbrostar Ura",NA,"","Commune","Commune","","Mbrostar| Mbrostar Ure"
136,4,"ALB","Albania",5,"Fier",13,"Fierit",136,"Patos",NA,"","Bashkia","Bashkia","",""
137,4,"ALB","Albania",5,"Fier",13,"Fierit",137,"Portëz",NA,"","Commune","Commune","",""
138,4,"ALB","Albania",5,"Fier",13,"Fierit",138,"Qendër",NA,"","Commune","Commune","",""
139,4,"ALB","Albania",5,"Fier",13,"Fierit",139,"Roskovec",NA,"","Bashkia","Bashkia","",""
140,4,"ALB","Albania",5,"Fier",13,"Fierit",140,"Ruzhdie",NA,"","Commune","Commune","",""
141,4,"ALB","Albania",5,"Fier",13,"Fierit",141,"Strum",NA,"","Commune","Commune","","Strume"
142,4,"ALB","Albania",5,"Fier",13,"Fierit",142,"Topojë",NA,"","Commune","Commune","",""
143,4,"ALB","Albania",5,"Fier",13,"Fierit",143,"Zharrëz",NA,"","Commune","Commune","","Zharres"
144,4,"ALB","Albania",5,"Fier",14,"Lushnjës",144,"Allkaj",NA,"","Commune","Commune","",""
145,4,"ALB","Albania",5,"Fier",14,"Lushnjës",145,"Ballagat",NA,"","Commune","Commune","",""
146,4,"ALB","Albania",5,"Fier",14,"Lushnjës",146,"Bubullimë",NA,"","Bashkia","Bashkia","",""
147,4,"ALB","Albania",5,"Fier",14,"Lushnjës",147,"Divjakë",NA,"","Bashkia","Bashkia","",""
148,4,"ALB","Albania",5,"Fier",14,"Lushnjës",148,"Dushk",NA,"","Commune","Commune","",""
149,4,"ALB","Albania",5,"Fier",14,"Lushnjës",149,"Fier Shegan",NA,"","Commune","Commune","",""
150,4,"ALB","Albania",5,"Fier",14,"Lushnjës",150,"Golem",NA,"","Commune","Commune","",""
151,4,"ALB","Albania",5,"Fier",14,"Lushnjës",151,"Grabian",NA,"","Commune","Commune","",""
152,4,"ALB","Albania",5,"Fier",14,"Lushnjës",152,"Gradishtë",NA,"","Commune","Commune","","Gradisht| Gradishe"
153,4,"ALB","Albania",5,"Fier",14,"Lushnjës",153,"Hysgjokaj",NA,"","Commune","Commune","",""
154,4,"ALB","Albania",5,"Fier",14,"Lushnjës",154,"Karbunarë",NA,"","Commune","Commune","",""
155,4,"ALB","Albania",5,"Fier",14,"Lushnjës",155,"Kolonjë",NA,"","Commune","Commune","",""
156,4,"ALB","Albania",5,"Fier",14,"Lushnjës",156,"Krutjë",NA,"","Commune","Commune","",""
157,4,"ALB","Albania",5,"Fier",14,"Lushnjës",157,"Lushnjë",NA,"","Bashkia","Bashkia","",""
158,4,"ALB","Albania",5,"Fier",14,"Lushnjës",158,"Remas",NA,"","Commune","Commune","","Rremas"
159,4,"ALB","Albania",5,"Fier",14,"Lushnjës",159,"Tërbuf",NA,"","Commune","Commune","",""
160,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",160,"Aranitas",NA,"","Commune","Commune","",""
161,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",161,"Bashkia B",NA,"","Commune","Commune","",""
162,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",162,"Fratar",NA,"","Commune","Commune","",""
163,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",163,"Greshicë",NA,"","Commune","Commune","",""
164,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",164,"Hekal",NA,"","Commune","Commune","",""
165,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",165,"Kutë",NA,"","Commune","Commune","",""
166,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",166,"Ngraçan",NA,"","Commune","Commune","",""
167,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",167,"Qendër",NA,"","Commune","Commune","","Qender |Ballsh| Qender Dukas"
168,4,"ALB","Albania",5,"Fier",15,"Mallakastrës",168,"Selitë",NA,"","Commune","Commune","","Selite |Ballsh"
169,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",169,"Antigonë",NA,"","Commune","Commune","","Antigon"
170,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",170,"Cepo",NA,"","Commune","Commune","",""
171,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",171,"Dropull i Poshtëm",NA,"","Commune","Commune","","Dropulli I Poshte"
172,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",172,"Dropull i Sipërm",NA,"","Commune","Commune","","Dropulli I Siperm"
173,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",173,"Gjirokastër",NA,"","Bashkia","Bashkia","",""
174,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",174,"Lazarat",NA,"","Commune","Commune","",""
175,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",175,"Libohovë",NA,"","Bashkia","Bashkia","",""
176,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",176,"Lunxhëri",NA,"","Commune","Commune","",""
177,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",177,"Odrie",NA,"","Commune","Commune","",""
178,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",178,"Picar",NA,"","Commune","Commune","",""
179,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",179,"Pogon",NA,"","Commune","Commune","",""
180,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",180,"Qen.Liboh",NA,"","Bashkia","Bashkia","",""
181,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës",181,"Zagori",NA,"","Commune","Commune","","Zagorie"
182,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",182,"Çarshovë",NA,"","Commune","Commune","",""
183,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",183,"Ballaban",NA,"","Commune","Commune","",""
184,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",184,"Dishnicë",NA,"","Commune","Commune","","Deshnice"
185,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",185,"Frashër",NA,"","Commune","Commune","",""
186,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",186,"Këlcyrë",NA,"","Commune","Commune","",""
187,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",187,"Përmet",NA,"","Bashkia","Bashkia","",""
188,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",188,"Petran",NA,"","Commune","Commune","",""
189,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",189,"Qendër Piskovë",NA,"","Commune","Commune","",""
190,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit",190,"Sukë",NA,"","Commune","Commune","",""
191,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",191,"Buz",NA,"","Commune","Commune","",""
192,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",192,"Fshat Mem",NA,"","Commune","Commune","","Fshat Memaliaj| Memeliaj Fshat"
193,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",193,"Krahës",NA,"","Commune","Commune","","Krahez"
194,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",194,"Kurvelesh",NA,"","Commune","Commune","",""
195,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",195,"Lopës",NA,"","Commune","Commune","","Lopez"
196,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",196,"Luftinjë",NA,"","Commune","Commune","",""
197,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",197,"Memaliaj",NA,"","Bashkia","Bashkia","",""
198,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",198,"Qendër",NA,"","Commune","Commune","","Qender Tepelene|Qender Libohove"
199,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",199,"Qesarat",NA,"","Commune","Commune","",""
200,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës",200,"Tepelenë",NA,"","Bashkia","Bashkia","",""
201,4,"ALB","Albania",7,"Korçë",19,"Devollit",201,"Ballsh",NA,"","Bashkia","Bashkia","",""
202,4,"ALB","Albania",7,"Korçë",19,"Devollit",202,"Bilisht",NA,"","Bashkia","Bashkia","",""
203,4,"ALB","Albania",7,"Korçë",19,"Devollit",203,"Hoçisht",NA,"","Commune","Commune","",""
204,4,"ALB","Albania",7,"Korçë",19,"Devollit",204,"Miras",NA,"","Commune","Commune","",""
205,4,"ALB","Albania",7,"Korçë",19,"Devollit",205,"Progër",NA,"","Commune","Commune","",""
206,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",206,"Çlirim",NA,"","Bashkia","Bashkia","",""
207,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",207,"Barmash",NA,"","Commune","Commune","",""
208,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",208,"Ersekë",NA,"","Commune","Commune","",""
209,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",209,"Komuna La",NA,"","Commune","Commune","",""
210,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",210,"Leskovik",NA,"","Bashkia","Bashkia","","Leskovik Bashki"
211,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",211,"Mollas",NA,"","Commune","Commune","",""
212,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",212,"Novoselë",NA,"","Commune","Commune","",""
213,4,"ALB","Albania",7,"Korçë",20,"Kolonjës",213,"Qendër Ersekë",NA,"","Commune","Commune","",""
214,4,"ALB","Albania",7,"Korçë",21,"Korçës",214,"Drenovë",NA,"","Commune","Commune","",""
215,4,"ALB","Albania",7,"Korçë",21,"Korçës",215,"Gore",NA,"","Commune","Commune","",""
216,4,"ALB","Albania",7,"Korçë",21,"Korçës",216,"Inland Water Body",NA,"","Water body","Water body","",""
217,4,"ALB","Albania",7,"Korçë",21,"Korçës",217,"Korçë",NA,"","Bashkia","Bashkia","",""
218,4,"ALB","Albania",7,"Korçë",21,"Korçës",218,"Lekas",NA,"","Commune","Commune","",""
219,4,"ALB","Albania",7,"Korçë",21,"Korçës",219,"Libonik",NA,"","Commune","Commune","",""
220,4,"ALB","Albania",7,"Korçë",21,"Korçës",220,"Liqenas",NA,"","Commune","Commune","",""
221,4,"ALB","Albania",7,"Korçë",21,"Korçës",221,"Maliq",NA,"","Bashkia","Bashkia","",""
222,4,"ALB","Albania",7,"Korçë",21,"Korçës",222,"Moglicë",NA,"","Commune","Commune","",""
223,4,"ALB","Albania",7,"Korçë",21,"Korçës",223,"Mollaj",NA,"","Commune","Commune","","Mollas"
224,4,"ALB","Albania",7,"Korçë",21,"Korçës",224,"Pirg",NA,"","Commune","Commune","",""
225,4,"ALB","Albania",7,"Korçë",21,"Korçës",225,"Pojan",NA,"","Commune","Commune","",""
226,4,"ALB","Albania",7,"Korçë",21,"Korçës",226,"Qendër",NA,"","Commune","Commune","","Qender Bulgarec"
227,4,"ALB","Albania",7,"Korçë",21,"Korçës",227,"Vithkuq",NA,"","Commune","Commune","",""
228,4,"ALB","Albania",7,"Korçë",21,"Korçës",228,"Voskop",NA,"","Commune","Commune","",""
229,4,"ALB","Albania",7,"Korçë",21,"Korçës",229,"Voskopojë",NA,"","Commune","Commune","",""
230,4,"ALB","Albania",7,"Korçë",21,"Korçës",230,"Vreshtas",NA,"","Commune","Commune","",""
231,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",231,"Çërravë",NA,"","Commune","Commune","",""
232,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",232,"Buçimas",NA,"","Commune","Commune","",""
233,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",233,"Dardhas",NA,"","Commune","Commune","",""
234,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",234,"Hudenisht",NA,"","Commune","Commune","","Hoeisht |Morave"
235,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",235,"Inland Water Body",NA,"","Water body","Water body","",""
236,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",236,"Pogradec",NA,"","Bashkia","Bashkia","",""
237,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",237,"Proptisht",NA,"","Commune","Commune","","Propisht"
238,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",238,"Trebinjë",NA,"","Commune","Commune","","Trabinje"
239,4,"ALB","Albania",7,"Korçë",22,"Pogradecit",239,"Velçan",NA,"","Commune","Commune","",""
